Symbol,Week 1 Diff,Week 1 Ch,Week 2 Diff,Week 2 Ch
CDAY,-6.528959070841481,-1.0,-4.808000488281252,-1.18
TFX,-20.897414374309108,-11.49,-12.541868004409707,-5.95
ABMD,-8.997916666666697,-0.21,-7.027499389648426,-7.14
UAL,-1.1100001207987449,-1.39,-1.0675002288818334,0.22
CAG,-1.1150708403421667,-0.28,-0.8865618552134258,0.16
OMC,-1.8885418955485136,-0.59,-0.9840006256103635,1.01
NLOK,-0.6627085717519101,0.23,-0.5185002517700177,0.0
CAH,-0.0496834945678728,-0.89,0.06500022888183565,0.85
MKTX,-26.92250116984053,-5.83,-20.177003784179703,-4.5
LNT,-0.8573123613993303,1.54,-1.2244997024536133,-0.21
CBOE,-1.1395822270711449,-0.03,-1.5394998931884913,2.13
IPG,-1.625000127156575,-0.35,-1.1720003128051744,0.19
FOXA,-1.4347918955485,-0.58,-0.8597504425048825,0.39
LVS,-1.2095836321512865,-0.29,-1.4479999542236328,-0.82
WRK,-0.2991167631888558,-1.23,-0.04262528006690047,-0.15
MOS,-2.270833028157554,0.08,-1.5849997329711911,0.34
MRO,-0.3915264641550848,-0.89,-0.3053748394558511,0.85
LNC,-1.83166711171468,-1.86,-1.2580000305175787,1.15
PKG,-2.1291656239827432,0.48,-2.3714971923828045,0.36
AAL,-0.5977084096272769,-0.13,-0.668500003814696,-0.14
PTC,-6.563333002726239,0.54,-4.799999999999997,-5.13
CHRW,-1.744791196187336,2.36,-1.9574983978271518,0.99
HST,-0.0995832506815617,-0.26,-0.17450012207031307,0.25
INCY,-0.7381248029073078,-0.62,-0.6070000839233387,0.47
LDOS,-5.286666310628249,0.87,-4.498500518798821,-0.1
ATO,-0.835583661397294,3.1,-1.4949995422363287,-0.31
HWM,-0.0827973239251207,-1.14,0.057599446554267075,0.5
HRL,-0.0624998855590845,0.01,-0.2470001983642618,0.23
XRAY,-2.3141667175292966,-0.88,-1.597499732971194,-0.25
L,-0.4316662724812872,-1.06,-0.09383952446187749,0.7
JKHY,-9.717501831054676,1.41,-7.74700012207029,-0.14
RE,-0.0612503051758039,-7.29,1.971002197265591,5.62
HSIC,-1.0508333333333295,-0.83,-0.8090000915527327,0.69
CTXS,-7.430741806030269,0.37,-5.649999923706048,-1.41
APA,-0.5634028647274256,-1.58,-0.5335000228881839,1.97
MHK,-5.869583231608061,2.78,-5.017499389648435,-0.03
WYNN,-2.185592193603512,0.52,-2.6759997558593653,-2.69
UHS,-3.384999516805024,-1.85,-2.24199897766114,2.72
AIZ,-2.098750203450521,-0.76,-1.8684999084472622,1.36
NWSA,-0.5045833873748791,-1.65,-0.17149999618530387,0.03
NRG,-1.80270505501386,0.24,-1.3111557108488867,0.33
GL,-0.3466662724812721,-0.7,0.06450042724610228,1.82
NCLH,-2.1937498283386248,-0.49,-2.0074999046325708,-0.44
NWL,-0.6762499682108576,-0.01,-0.7509998512268083,0.12
DISH,-4.585417054494222,-0.76,-3.2820003890991174,-0.5
IVZ,-0.7698011400334437,-0.39,-0.745408303924755,0.14
LW,-0.3715596714076312,-0.53,-0.2944954612129891,-0.24
DXC,-1.262499923706052,-0.83,-0.8540002059936498,0.31
OGN,-3.0611794630686404,-0.12,-2.7190000534057575,-0.44
ROL,-0.742692972819313,-0.22,-0.24601723057504898,0.66
PENN,-11.70854199091594,-0.12,-8.84050022125244,-1.32
HII,-11.772083816528324,-0.41,-8.394206996789535,-1.28
WU,-1.4985415776570612,-0.01,-1.0910000801086426,-0.11
DVA,-5.251249796549487,-2.11,-3.885500183105478,1.01
ALK,-2.5104167874654166,0.21,-2.3544999694824256,-0.35
IPGP,-1.5543747965494674,-0.91,-1.296499481201181,0.21
LEG,-2.516041711171468,-0.62,-1.9375001144409154,0.28
FOX,-1.2566665776570645,-0.5,-0.7289997863769528,-0.17
NWS,-0.3804167652130132,-0.86,0.0004998779296876421,-0.03
ONL,-4.875312442779542,-0.33,-4.625312561988832,0.3
